Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Correspondence Address,ISSN,ISBN,CODEN,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source
"Currie W.L., Gozman D.P., Seddon J.J.M.","7005797457;55490621900;56754150500;","Dialectic tensions in the financial markets: a longitudinal study of pre- and post-crisis regulatory technology",2018,"Journal of Information Technology","33","4",,"304","325",,23,"10.1057/s41265-017-0047-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038390447&doi=10.1057%2fs41265-017-0047-5&partnerID=40&md5=16bd31f95ee77e19613564146578f0b8","Audencia-PRES LUNAM, Audencia School of Management, 8 route de la Jonelière, B.P. 31222, Nantes Cedex 3, 44312, France; University of Sydney, Sydney, Australia; Henley Business School, Reading, United Kingdom","Currie, W.L., Audencia-PRES LUNAM, Audencia School of Management, 8 route de la Jonelière, B.P. 31222, Nantes Cedex 3, 44312, France; Gozman, D.P., University of Sydney, Sydney, Australia, Henley Business School, Reading, United Kingdom; Seddon, J.J.M., Audencia-PRES LUNAM, Audencia School of Management, 8 route de la Jonelière, B.P. 31222, Nantes Cedex 3, 44312, France","accountability; compliance systems; ethics; financial crisis; financial technology; fintech; regtech; regulatory technology; surveillance","Financial markets; Information management; Investments; Monitoring; Privatization; Space surveillance; Transparency; accountability; ethics; Financial crisis; fintech; regtech; Regulatory compliance","Gozman, D.P.; Henley Business SchoolUnited Kingdom; email: daniel.gozman@gmail.com",02683962,,,"J. Inf. Technol.",Article,"Final","All Open Access, Green",Scopus
"Simser J.","55824735000;","Money laundering and asset cloaking techniques",2008,"Journal of Money Laundering Control","11","1",,"15","24",,23,"10.1108/13685200810844460","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064633429&doi=10.1108%2f13685200810844460&partnerID=40&md5=3a13ea04e40066f349acc96ff72658e6","Civil Remedies for Illicit Activities Office, Ministry of the Attorney General, Toronto, Canada","Simser, J., Civil Remedies for Illicit Activities Office, Ministry of the Attorney General, Toronto, Canada","Australia; Canada; Criminal forfeiture; Money laundering; United States of America",,"Simser, J.; Civil Remedies for Illicit Activities Office, Canada",13685201,,,"J. Money Laund. Control",Article,"Final","",Scopus
"Feuerriegel S., Dolata M., Schwabe G.","53881265200;55085557500;8564379000;","Fair AI: Challenges and Opportunities",2020,"Business and Information Systems Engineering","62","4",,"379","384",,22,"10.1007/s12599-020-00650-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084430799&doi=10.1007%2fs12599-020-00650-3&partnerID=40&md5=7da5f84cb5e62715a8fbe2cf80792140","ETH Zurich, Weinbergstr. 56/58, Zurich, 8092, Switzerland; Department of Informatics, University of Zurich, Binzmuehlestrasse 14, Zurich, 8050, Switzerland","Feuerriegel, S., ETH Zurich, Weinbergstr. 56/58, Zurich, 8092, Switzerland; Dolata, M., Department of Informatics, University of Zurich, Binzmuehlestrasse 14, Zurich, 8050, Switzerland; Schwabe, G., Department of Informatics, University of Zurich, Binzmuehlestrasse 14, Zurich, 8050, Switzerland","Algorithmic fairness; Artificial intelligence; Decision support; Information systems; Trust",,"Feuerriegel, S.; ETH Zurich, Weinbergstr. 56/58, Switzerland; email: sfeuerriegel@ethz.ch",23637005,,,"Busin. Info. Sys. Eng.",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus
"Baum S.D.","24741192200;","Social choice ethics in artificial intelligence",2020,"AI and Society","35","1",,"165","176",,22,"10.1007/s00146-017-0760-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030163135&doi=10.1007%2fs00146-017-0760-1&partnerID=40&md5=302caa5f7a11c1fd89eb231c187756ea","Global Catastrophic Risk Institute, PO Box 40364, Washington, DC  20016, United States","Baum, S.D., Global Catastrophic Risk Institute, PO Box 40364, Washington, DC  20016, United States","Aggregation; Artificial intelligence; Ethics; Measurement; Social choice; Standing","Agglomeration; Aggregates; Artificial intelligence; Measurement; Aggregate views; Ethical dilemma; Ethics; Future generations; Social choice; Standing; Philosophical aspects","Baum, S.D.; Global Catastrophic Risk Institute, PO Box 40364, United States; email: seth@gcrinstitute.org",09515666,,,"AI Soc.",Article,"Final","",Scopus
"Huber M., Imhof D.","37065973000;57204171032;","Machine learning with screens for detecting bid-rigging cartels",2019,"International Journal of Industrial Organization","65",,,"277","301",,22,"10.1016/j.ijindorg.2019.04.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066076141&doi=10.1016%2fj.ijindorg.2019.04.002&partnerID=40&md5=15d1fa77ae7e212ae062265ab947d790","Department of Economics, University of Fribourg, Switzerland; University of Bourgogne Franche-Comté, CRESE EA 3190, Besançon, F-25000, France; Unidistance, Switzerland; Swiss Competition Commission COMCO, Switzerland","Huber, M., Department of Economics, University of Fribourg, Switzerland; Imhof, D., Department of Economics, University of Fribourg, Switzerland, University of Bourgogne Franche-Comté, CRESE EA 3190, Besançon, F-25000, France, Unidistance, Switzerland, Swiss Competition Commission COMCO, Switzerland","Bid rigging detection; Ensemble methods; Lasso; Machine learning; Screening methods","Competition; Construction industry; Forecasting; Learning systems; Public policy; Bid rigging; Bidding process; Construction sectors; Ensemble methods; Lasso; Machine learning techniques; Policy implications; Screening methods; Machine learning","Imhof, D.; Competition Commission COMCO, Switzerland; email: david.imhof@comco.admin.ch",01677187,,IJIOD,"Int J Ind Organiz",Article,"Final","All Open Access, Green",Scopus
"Dobrynin I., Radivilova T., Maltseva N., Ageyev D.","57207768136;24484091300;57207765886;6507006637;","Use of Approaches to the Methodology of Factor Analysis of Information Risks for the Quantitative Assessment of Information Risks Based on the Formation of Cause-And-Effect Links",2019,"2018 International Scientific-Practical Conference on Problems of Infocommunications Science and Technology, PIC S and T 2018 - Proceedings",,,"8632022","229","232",,22,"10.1109/INFOCOMMST.2018.8632022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062867640&doi=10.1109%2fINFOCOMMST.2018.8632022&partnerID=40&md5=ac1cf5ad3d593c63963fe160cad58584","Department of Infocommunication Engineering, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine","Dobrynin, I., Department of Infocommunication Engineering, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine; Radivilova, T., Department of Infocommunication Engineering, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine; Maltseva, N., Department of Infocommunication Engineering, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine; Ageyev, D., Department of Infocommunication Engineering, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine","Asset; Information security; Quantitative analysis; Risk assessment; Threat; Vulnerability","Bayesian networks; Chemical analysis; Factor analysis; Information analysis; Multivariant analysis; Risk analysis; Security of data; Asset; Cause-and-effect relationships; Information confidentiality; Mathematical apparatus; Qualitative assessments; Quantitative assessments; Threat; Vulnerability; Risk assessment",,,9781538666111,,"Int. Sci.-Pract. Conf. Probl. Infocommunications Sci. Technol., PIC S T - Proc.",Conference Paper,"Final","All Open Access, Green",Scopus
"Pandit H.J., Polleres A., Bos B., Brennan R., Bruegger B., Ekaputra F.J., Fernández J.D., Hamed R.G., Kiesling E., Lizar M., Schlehahn E., Steyskal S., Wenning R.","57190943010;14042181800;57197991186;36447456700;55597690200;55626029300;55865569136;54400923700;29067925200;56406450000;56899063600;55908316200;57195676835;","Creating a vocabulary for data privacy: The first-year report of data privacy vocabularies and controls community group (DPVCG)",2019,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","11877 LNCS",,,"714","730",,22,"10.1007/978-3-030-33246-4_44","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077849205&doi=10.1007%2f978-3-030-33246-4_44&partnerID=40&md5=dccdc609f49b4f5d2117162c88157826","Trinity College Dublin, Dublin, Ireland; Vienna University of Economics and Business, Vienna, Austria; W3C/ERCIM, Sophia Antipolis, France; Dublin City University, Dublin, Ireland; Unabhängiges Landeszentrum für Datenschutz Schleswig-Holstein, Kiel, Germany; Vienna University of Technology, Vienna, Austria; OpenConsent/Kantara Initiative, London, United Kingdom; Siemens AG, Vienna, Austria","Pandit, H.J., Trinity College Dublin, Dublin, Ireland; Polleres, A., Vienna University of Economics and Business, Vienna, Austria; Bos, B., W3C/ERCIM, Sophia Antipolis, France; Brennan, R., Dublin City University, Dublin, Ireland; Bruegger, B., Unabhängiges Landeszentrum für Datenschutz Schleswig-Holstein, Kiel, Germany; Ekaputra, F.J., Vienna University of Technology, Vienna, Austria; Fernández, J.D., Vienna University of Economics and Business, Vienna, Austria; Hamed, R.G., Trinity College Dublin, Dublin, Ireland; Kiesling, E., Vienna University of Technology, Vienna, Austria; Lizar, M., OpenConsent/Kantara Initiative, London, United Kingdom; Schlehahn, E., Unabhängiges Landeszentrum für Datenschutz Schleswig-Holstein, Kiel, Germany; Steyskal, S., Siemens AG, Vienna, Austria; Wenning, R., W3C/ERCIM, Sophia Antipolis, France","GDPR; Interoperability; Privacy; Semantic web","Interoperability; Multi agent systems; Semantic Web; Community group; Consent managements; Data portabilities; GDPR; General data protection regulations; Linked Data principles; Privacy policies; User configurable; Data privacy","Pandit, H.J.; Trinity College DublinIreland; email: pandith@tcd.ie",03029743,9783030332457,,"Lect. Notes Comput. Sci.",Conference Paper,"Final","All Open Access, Green",Scopus
"Hill J.","57215609634;","FinTech and the remaking of financial institutions",2018,"Fintech and the Remaking of Financial Institutions",,,,"1","386",,22,"10.1016/C2016-0-03863-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048085195&doi=10.1016%2fC2016-0-03863-9&partnerID=40&md5=89924fc6ef11ffe44b7fc1b81b4c1e5d","School of Management, Marist College, Town of Poughkeepsie, NY, United States","Hill, J., School of Management, Marist College, Town of Poughkeepsie, NY, United States",,,"Hill, J.; School of Management, United States",,9780128134979; 9780128134986,,"Fintech and the Remaking of Financial Institutions",Book,"Final","",Scopus
"Kirichenko L., Radivilova T., Zinkevich I.","47861221700;24484091300;57198346928;","Comparative analysis of conversion series forecasting in e-commerce tasks",2018,"Advances in Intelligent Systems and Computing","689",,,"230","242",,22,"10.1007/978-3-319-70581-1_16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85036452094&doi=10.1007%2f978-3-319-70581-1_16&partnerID=40&md5=433f141d5951d641bc3e9d250ce35c24","Kharkiv University of Radioelectronics, Kharkiv, 61166, Ukraine","Kirichenko, L., Kharkiv University of Radioelectronics, Kharkiv, 61166, Ukraine; Radivilova, T., Kharkiv University of Radioelectronics, Kharkiv, 61166, Ukraine; Zinkevich, I., Kharkiv University of Radioelectronics, Kharkiv, 61166, Ukraine","Conversion rate; Decision tree; Exponential smoothing; Forecasting; Long-term memory neural network; Machine learning; Time series","Commerce; Decision trees; Electronic commerce; Intelligent systems; Learning systems; Time series; Trees (mathematics); Comparative analysis; Conversion rates; Exponential smoothing; Long term memory; Online store; Forecasting","Kirichenko, L.; Kharkiv University of RadioelectronicsUkraine; email: Lyudmyla.kirichenko@nuze.ua",21945357,9783319705804,,"Adv. Intell. Sys. Comput.",Conference Paper,"Final","",Scopus
"Lei M., Zhao X., Deng H., Tan K.-C.","57206922649;57194393189;7401775296;7403999240;","DEA analysis of FDI attractiveness for sustainable development: Evidence from Chinese provinces",2013,"Decision Support Systems","56","1",,"406","418",,22,"10.1016/j.dss.2012.10.053","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889095223&doi=10.1016%2fj.dss.2012.10.053&partnerID=40&md5=9af39553dd7c474e67c8dca5e406c7b0","Guanghua School of Management, Peking University, China; Lee Business School, University of Nevada, Las Vegas, United States","Lei, M., Guanghua School of Management, Peking University, China; Zhao, X., Guanghua School of Management, Peking University, China; Deng, H., Lee Business School, University of Nevada, Las Vegas, United States; Tan, K.-C., Lee Business School, University of Nevada, Las Vegas, United States","Data envelopment analysis; Foreign direct investment; Malmquist index; Mechanism design; Sustainable development","Developing nations; Foreign direct investments; Implementation mechanisms; Malmquist indices; Malmquist productivity index; Mechanism design; Multi-national corporations; Theoretical modeling; Commerce; Data envelopment analysis; Energy utilization; Environmental protection; Machine design; Planning; Sustainable development; Investments","Deng, H.; Lee Business School, United States; email: honghui.deng@unlv.edu",01679236,,DSSYD,"Decis Support Syst",Article,"Final","",Scopus
"Wang X., Dong G.","35436328300;56778001500;","Research on money laundering detection based on improved minimum spanning tree clustering and its application",2009,"2009 2nd International Symposium on Knowledge Acquisition and Modeling, KAM 2009","2",,"5362309","62","64",,22,"10.1109/KAM.2009.221","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951158416&doi=10.1109%2fKAM.2009.221&partnerID=40&md5=7a9bf9c847dffaca60cae7af1e9c86a9","School of Computer Science, Hangzhou Dianzi University (HDU), Hangzhou, China","Wang, X., School of Computer Science, Hangzhou Dianzi University (HDU), Hangzhou, China; Dong, G., School of Computer Science, Hangzhou Dianzi University (HDU), Hangzhou, China","Clustering analysis; Minimum spanning tree; Money laundering; Outliers","Clustering analysis; Detection algorithm; Detection experiments; Financial data; Minimum spanning trees; Money laundering; Cluster analysis; Knowledge acquisition; Laundering; Trees (mathematics)","Wang, X.; School of Computer Science, , Hangzhou, China; email: xqwang@hdu.edu.cn",,9780769538884,,"Int. Symp. Knowl. Acquis. Model., KAM",Conference Paper,"Final","",Scopus
"Mishchenko S., Naumenkova S., Mishchenko V., Dorofeiev D.","36069220600;56835691100;56677468000;57211201104;","Innovation risk management in financial institutions",2021,"Investment Management and Financial Innovations","18","1",,"191","203",,21,"10.21511/imfi.18(1).2021.16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101562506&doi=10.21511%2fimfi.18%281%29.2021.16&partnerID=40&md5=d0335ebe85203c3fdd701682f5d31b94","Department of Banking and Financial Technologies, Banking University, Ukraine; Department of Finance, Taras Shevchenko National University of Kyiv, Ukraine; Department of Digital and International Economics, Banking University, Ukraine","Mishchenko, S., Department of Banking and Financial Technologies, Banking University, Ukraine; Naumenkova, S., Department of Finance, Taras Shevchenko National University of Kyiv, Ukraine; Mishchenko, V., Department of Digital and International Economics, Banking University, Ukraine; Dorofeiev, D., Department of Banking and Financial Technologies, Banking University, Ukraine","Critical operations; Financial institutions; FinTech; Innovation; Insurance; Operational stability; Risk management; Ukraine",,"Naumenkova, S.; Department of Finance, Ukraine",18104967,,,"Investm. Manange. Financ. Innov.",Article,"Final","All Open Access, Gold",Scopus
